name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Shorin Ryu Seibukan Karate Dojo Ngong,ChIJxYbqybMDLxgRn6WGXzD5ak8,"JMP3+F23, Ngong, Kenya",Ngong,-1.3638694,36.6525568,,https://maps.google.com/?cid=5722660262684042655,5,(1),martial-arts,karate; martial-arts,establishment; gym; health; point_of_interest
Dove Karate Training Academy,ChIJ59cTom0DLxgRkLurisunbCE,"SGR railway station, Magadi road, Ongata Rongai, Kenya",Rongai,-1.3791226,36.6924566,,https://maps.google.com/?cid=2408484393383082896,,,martial-arts,karate; martial-arts; taekwondo,establishment; health; point_of_interest
Lavington ITF Taekwon-Do Club,ChIJd8len0kZLxgR1MKcKb9ZENk,"Lavington, Nairobi, Kenya",Lavington,-1.2757119,36.7621818,,https://maps.google.com/?cid=15641100183429497556,,,martial-arts,karate; martial-arts,establishment; health; point_of_interest
Taekwondo,ChIJQZSbJkw_LxgR34lR-JxKZ_s,"PR89+5GP Chester House, 00200 Koinange St, Nairobi, Kenya",,-1.2847805,36.8190355,,https://maps.google.com/?cid=18115530064162556383,4.3,(3),martial-arts,karate; martial-arts; taekwondo,establishment; gym; health; point_of_interest
CHANUKA SELF DEFENCE KENYA,ChIJdaP55vMfLxgR7evJA3nX6ks,"Gitaru Itanga Rd, Waiyaki Way, Nairobi, Kenya",,-1.2387959,36.6791562,,https://maps.google.com/?cid=5470421612149468141,5,(6),martial-arts,karate; martial-arts; muay-thai; taekwondo,establishment; health; point_of_interest
Blue Tigers Taekwondo Academy,ChIJ-XKIDgA_LxgRXO0ZMPed4HA,"Nairobi, Ruiru, Kenya",,-1.2016533,36.892905,,https://maps.google.com/?cid=8133674612020604252,5,(7),martial-arts,karate; martial-arts; taekwondo,establishment; health; point_of_interest
J mure,ChIJzbuciEIRLxgRsuV_dSeiucI,"muthurwa, Nairobi, Kenya",,-1.2877488,36.8340951,,https://maps.google.com/?cid=14031424404408231346,5,(1),martial-arts,karate; martial-arts,establishment; health; point_of_interest
Master Benjamin M Joseph,ChIJWeXFYGURLxgRS3ejAsTB0JM,"Koinange St, Nairobi, Kenya",,-1.2836757,36.8185948,http://masterbenjaminkicker.www.co.ke/,https://maps.google.com/?cid=10651226166333241163,,,martial-arts,karate; martial-arts; taekwondo,establishment; health; point_of_interest
Shujaa Martial Arts Academy,ChIJx_8mjMdPLxgR6WRuQNxJod0,"Unity House, Thika, Kenya",,-1.0408456,37.0718896,http://shujaamartialartsacademy.wordpress.com/,https://maps.google.com/?cid=15970126963955098857,5,(4),martial-arts; mind-body,karate; martial-arts; tai-chi,establishment; health; point_of_interest
Karate by Lucas wanyama,ChIJAauhI9MXLxgRs-3LsmkyIq4,"Mathare, Ruiru, Kenya",Mathare,-1.265672,36.8583732,https://www.karatebylucaswanyama.com/,https://maps.google.com/?cid=12547646941360287155,,,martial-arts,karate; martial-arts,establishment; health; point_of_interest
TEAM REGIONAL TAEKWONDO-KAREN,ChIJ_6K7L24bLxgRFh9nxJknw1A,"MPC9+H4P, Karen Plains Rd, Nairobi, Kenya",Karen,-1.3285437,36.717821,,https://maps.google.com/?cid=5819538684871384854,2,(1),martial-arts,karate; martial-arts; taekwondo,establishment; health; point_of_interest
Nairobi Aikikai dojo,ChIJB9CkGlUXLxgRxQxfacMe0F8,"PRC7+666, Nairobi, Kenya",,-1.2795843,36.8129828,,https://maps.google.com/?cid=6904052053394263237,,,martial-arts,karate; martial-arts,establishment; health; point_of_interest
Summer Rock School,ChIJTRN8jQRsLxgRhIb2dVL_UF8,"P29M+39C, Nairobi, Kenya",,-1.2823022,37.033387,,https://maps.google.com/?cid=6868270161371498116,4.9,(8),martial-arts,karate,establishment; point_of_interest; school
Amuma Fitness,ChIJM2kPpT_oZysRqcA0TYpsdro,"Umoja, Nairobi, Kenya",Umoja,-1.2809556,36.8912985,https://amumafitness.com/,https://maps.google.com/?cid=13436045879563042985,5,(7),martial-arts; dance,kickboxing; zumba-dance,establishment; gym; health; point_of_interest
Empower Glow,ChIJ6WRiV8o9LxgRV0V5GQrSFyU,"Nairobi, Kenya",,-1.2145317,36.8296278,,https://maps.google.com/?cid=2672835844686562647,,,martial-arts,kickboxing,establishment; gym; health; point_of_interest
Spartan Gym Ruaka,ChIJKfUmeAMjLxgRS1kdtA-bq_w,"QQVJ+M43, Ruaka Bypass, Ruaka, Kenya",,-1.2058682,36.78030930000001,,https://maps.google.com/?cid=18206816410323999051,4.7,(63),martial-arts,kickboxing,establishment; gym; health; point_of_interest
Bopeva Kenpo fitness center (BPV GYM),ChIJxdcR0advLxgRjbOCHwwVpdk,"Kipawa stage, Kangundo Rd, Kamulu, Kenya",,-1.2567607,36.920639,,https://maps.google.com/?cid=15682964419200070541,4.8,(29),martial-arts,kickboxing; taekwondo,establishment; gym; health; point_of_interest
Fedha Superfit Gym And Areobics,ChIJOyYAqVISLxgRFEQNqZWflvg,"Nairobi, Kenya",,-1.3098854,36.9006812,,https://maps.google.com/?cid=17912680033047888916,4.5,(62),martial-arts; dance,kickboxing; zumba-dance,establishment; gym; health; point_of_interest
Kick Fitness Gym (Eastern Bypass - Kamakis),ChIJMXHvrKdBLxgR4Jc7J52vKm8,"Kamakis at Total petrol station opposite Greenspot, Ruiru Bypass, Kenya",,-1.168851,36.96699330000001,https://www.kickfitnessgym.com/,https://maps.google.com/?cid=8010407976734791648,4.4,(13),martial-arts,kickboxing,establishment; gym; health; point_of_interest
