name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
The Colosseum Fitness Centre - Adams Arcade,ChIJc4IOSHYaLxgRjOhIrVwsSCg,"Adams Arcade, Ngong Rd, Nairobi, Kenya",Ngong,-1.3012316,36.7805404,http://www.colosseumkenya.com/,https://maps.google.com/?cid=2902618736396134540,4.6,(114),aerial; boxing; fitness; gym-time; martial-arts; personal-training; mind-body; strength-training; trampoline,gym-time; martial-arts; personal-training; strength-training; boxing; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Dance Centre Kenya,ChIJgyat5vcZLxgR24BELIuci8c,"Lavington Mall, 4th Floor, Nairobi, Kenya",Lavington,-1.2802583,36.7701345,http://dancecentre.co.ke/,https://maps.google.com/?cid=14378758356867514587,4.5,(68),dance,dance,website_extracted,approved,0.875,establishment; point_of_interest
The Academy of Dance and Art,ChIJ_-WjYR0bLxgRnxliSKwkeLI,"Nairobi, Kenya",,-1.328963,36.71763079999999,http://www.academyofdanceandart.co.ke/,https://maps.google.com/?cid=12860069058323814815,4.4,(30),dance,dance,website_extracted,approved,0.875,establishment; point_of_interest
EMPIRE DANCE KENYA,ChIJ91rmWGsXLxgRH4ipanQqhxU,"Mkungu Cl, Nairobi, Kenya",,-1.2610495,36.8043243,https://empiredancekenya.com/,https://maps.google.com/?cid=1551255276146493471,5,(27),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
CHEZACHEZA DANCE FOUNDATION,ChIJJRDfdiERLxgRfbRjen5iqMk,"Karanja Rd, Nairobi, Kenya",,-1.3121553,36.7834916,https://chezachezadance.org/,https://maps.google.com/?cid=14530972493069661309,4.7,(15),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
EM AFRICA ACADEMY,ChIJE5Rm8NqAJxgRyCHOaTQLPT0,"CPA Center, Thika Rd, Nairobi, Kenya",,-1.2535509,36.8594941,https://www.emafrica.co.ke/,https://maps.google.com/?cid=4412695529634275784,4.8,(111),dance; low-impact-training,low-impact-training; dance,website_extracted,approved,0.875,establishment; point_of_interest
JOS LYON BACHATA SALSA KIZOMBA AFRO BEATS DANCE SCHOOL,ChIJ-V1cti8XLxgRxTQU2LDdLro,"Kippro Center, Sports Rd, Nairobi, Kenya",,-1.2647608,36.8007156,https://sites.google.com/view/salsa-bachata-classes-nairobi/home,https://maps.google.com/?cid=13415904091592471749,5,(8),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
Dance Centre Kenya Hardy,ChIJNVjuggYFLxgRhl_b_6eEMp0,"Ushirika Rd, Nairobi, Kenya",,-1.365024,36.7429668,http://www.dancecentre.co.ke/,https://maps.google.com/?cid=11327261869877190534,4.5,(2),dance,dance,website_extracted,approved,0.875,establishment; point_of_interest; shopping_mall
Kenya Cultural Centre,ChIJCTOYFC0XLxgRBufyXSs89BU,"P.O. Box 43031 Harry Thuku Rd, Nairobi, Kenya",,-1.278336,36.815728,http://kenyaculturalcentre.go.ke/index.php,https://maps.google.com/?cid=1581955526071346950,4.5,(2299),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
Jellyport Dance Academy,ChIJfeoqIrQ_LxgRyhMBuO_37w0,"Eavesdprop building, Ruiru, Kenya",,-1.1607694,36.9428454,https://jellyport.wixsite.com/jellyportdanceschool,https://maps.google.com/?cid=1004293850883232714,3,(1),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
Sarakasi Dome,ChIJA1uwudUWLxgRe-y3EM4cGQs,"PRFG+7QW, Ngara Rd, Nairobi, Kenya",,-1.2767673,36.8269562,https://sarakasi.org/,https://maps.google.com/?cid=799702080204303483,4.2,(989),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
JIJI DANCE SAFARI KENYA,ChIJAy8QAMARLxgR_77QogcvMDY,"Baricho Rd, Nairobi, Kenya",,-1.30181,36.8261357,https://jijidancesafaris.com/,https://maps.google.com/?cid=3904672586773085951,4.9,(11),dance; yoga,dance,website_extracted,approved,0.75,establishment; point_of_interest; tourist_attraction
Zuberi Pilates Studio,ChIJz_TrngoXLxgRa3AQLG6GoKA,"260a flamingo drive, Nairobi, Kenya",,-1.2302072,36.7918053,https://zuberipilates.com/,https://maps.google.com/?cid=11574398850085974123,4.9,(15),barre; pilates; yoga; reformer-pilates; low-impact-training; prenatal-postnatal,barre; pilates; reformer-pilates; low-impact-training,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
