name,address,website
Advanced Fitness Centre Ltd,"Holden Towers Shimo la Tewa Road, Off Dunga Rd, Nairobi, Kenya",https://www.advancedfitness.co.ke/
Zettu Unified Martial Arts - ZUMA,"YMCA, State House Rd, Nairobi, Kenya",https://zuma.co.ke/
THE MECCA MEN’S GYM SECTION,"Al bait, 1st floor Fourth St, Nairobi, Kenya",http://themecca-gym.com/
Fitness & Gym Kenya,"jamia mall Kigali Rd, Starehe, Kenya",http://www.fitnessgym.co.ke/
Boxing Fitness Trainer (Coach Mike),"MQ7G+F8V, Langata Rd, Nairobi, Kenya",http://www.orbc.co.ke/
THE MECCA LADIES GYM,"Muyuyu Ave, Nairobi, Kenya",http://themecca-gym.com/
Nextgen Gym,"Mombasa Road, Nairobi, Kenya",https://nextgengym.fitness/
Ultimo Fitness & Spa,"PQ6F+429, Gitanga Rd, Nairobi, Kenya",http://www.ultimofitness.com/
MDA Studios,"Valley Arcade, Nairobi, Kenya",http://www.mda-africa.com/
Zazu Studios Limited,"PRQ6+5QH The Radiance Mall, 1st Floor First Parklands Ave, Nairobi, Kenya",https://www.zazu.fit/
Progressive Park Gym,"10 Mwanzi Rd, Nairobi, Kenya",https://progressiveparkhotel.co/gym
Mazoezi Gym South C,"five star road, 72 Muhoho Rd, Nairobi, Kenya",https://www.mazoezigym.com/
"Calisthens Fitness (Home of flexibility, mobility and strength)","Othaya Rd, Nairobi, Kenya",http://calisthensfitness.com/
Smart Gyms Diamond Plaza 2,"Diamond Plaza, Fourth Parklands Ave, Nairobi, Kenya",http://smartgyms.co.ke/
FEEL FITNESS CENTER,"After Roasters, At Thika Palm Arcade, along Garden estate road, Off Thika Rd, Nairobi, Kenya",http://feelfitnesscenter.org/
Gym Source Kenya Ltd,"Mezzanine floor, Shop M25, Soin shopping Arcade, Soin Shopping Arcade, Mezzanine floor Westlands Rd, Nairobi, Kenya",http://gymsourcekenya.co.ke/
Dance Into Space,"The GoDown Arts Centre, Dunga Rd, Nairobi, Kenya",http://www.danceintospace.org/
Music-Inn International School Of Music,"Nairobi, Kenya",http://www.music-inn.co.ke/
GoDown Arts Centre - Construction Site,"MRWJ+MM, Nairobi, Kenya",http://thegodown.org/
Learn Music Academy,"Green Gate, Opposite Riara Thorns, Adjacent to Riara Annex 1, Nairobi, Nairobi, Kenya",https://www.learnmusic.studio/
The Golden Eagle Art Gallery,"15205, 15205 Langata S Rd, Nairobi, Kenya",https://goldeneagleartsgallery.com/
K1 Klub House,"39005, Nairobi, Kenya",https://www.kahamagroup.com/
Century Cinemax Garden City,"Roysambu Off Exit 7 Thika Rd Nairobi garden city mall, Nairobi, Kenya",http://centurycinemax.co.ke/
SmashFit Gym Sarit,"Sarit, the Multi-storey Car Park, Sarit Using, 6th Floor Karuna Rd, Nairobi, Kenya",https://smashfitgym.com/
Fitness 360 South C,"KPA Estate, Nairobi, Kenya",http://facebook.com/Fitness360Ke
