name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
Dance 66 academy,ChIJl6VK5iYZLxgRTmygQIoZ5Vk,"mall, Nairobi, Kenya",,-1.2675639,36.7307625,http://leonellenty.websites.co.in/,https://maps.google.com/?cid=6477611720622763086,,,dance,dance,fallback_original,rejected,0.25,establishment; point_of_interest,
NAIROBI INSTITUTE OF MUSIC & PERFORMING ARTS - NIMPA,ChIJJYRk_WM_LxgRL5PImPvBbQA,"Zimmerman Base Road, Nairobi, Kenya",Zimmerman,-1.2053009,36.8940442,http://www.nimpa.ac.ke/,https://maps.google.com/?cid=30894058805695279,4.8,(30),dance,dance,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
CheckUps Medical Center,ChIJX91a7zURLxgRXgIYNWMITR8,"Rear Block, General Accident House, Nairobi, Kenya",,-1.2960508,36.807238,https://checkupsmed.com/,https://maps.google.com/?cid=2255468210568036958,4.2,(70),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,
Kenya Red Cross Training Institute,ChIJKUIVz7cRLxgR2k5HDGOKo0s,"Red Cross Rd, Nairobi, Kenya",,-1.3255151,36.8335813,https://www.krcti.ac.ke/,https://maps.google.com/?cid=5450352132060827354,4.7,(83),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0,establishment; point_of_interest; university,
Nairobi Institute of Medical and Emergency Training (NIMET College),ChIJY4kq_WwRLxgR7CKFPQD2su4,"Mkoma Road, Off Kapiti Rd, Nairobi, Kenya",,-1.3108546,36.8365234,https://www.nimet.ac.ke/,https://maps.google.com/?cid=17200080407773913836,5,(1),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0.25,establishment; point_of_interest; university,
EMT College,ChIJZ_3xlvAbLxgRUtbRVuNtLWE,"Naivasha Rd, Nairobi, Kenya",,-1.2830338,36.7369165,https://emtc.co.ke/,https://maps.google.com/?cid=7002373818812585554,,,electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0,establishment; point_of_interest; university,
St John Ambulance,ChIJTXdG_FoRLxgRYuO73VOYTmI,"St Johns Lane, St. John's House, Off Parliament Rd, Nairobi, Kenya",,-1.2912898,36.8208765,http://stjohnkenya.org/,https://maps.google.com/?cid=7083766749870154594,3.8,(16),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0.25,establishment; health; point_of_interest; store,
AAR Healthcare Training Center,ChIJqxbpkigRLxgRKlA21T0eW-s,"Transnational Plaza, 3rd Floor Mama Ngina St, Starehe, Kenya",,-1.28598,36.82323,https://www.aar-healthcare.com/ke/,https://maps.google.com/?cid=16959182072712679466,,,electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Habib Fitness Institute,ChIJw96gsKwRLxgR32VUBK-5ONk,"Nation Centre, 13th Floor Kimathi St, Nairobi, Kenya",,-1.2840677,36.8231152,https://www.habibfitnessinstitute.com/,https://maps.google.com/?cid=15652464666269214175,5,(4),fitness; personal-training,fitness; personal-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Henry's Fitness Gym and Training Institute,ChIJOWjj2e8TLxgR9eZ7CBYPJtQ,"Nairobi, Kenya",,-1.2867108,36.8807847,http://henrysfitness.com/,https://maps.google.com/?cid=15286922572461762293,4.6,(90),fitness; strength-training,fitness; strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Encore Fitness Studio,ChIJs3nbPVQTLxgRgoMHolMDuKg,"2nd Floor, Quickmart Buruburu Building, Suite No. 228, Nairobi, Kenya",Buruburu,-1.2879059,36.8813967,https://www.instagram.com/encorefitnessstudio/,https://maps.google.com/?cid=12157470851822224258,4.9,(9),fitness; gym-time; hiit-bootcamp; martial-arts; personal-training; strength-training; dance,fitness; gym-time; hiit-bootcamp; martial-arts; personal-training; strength-training; dance,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
