business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
LowFlo,,,London,https://lowflo.uk/,"hiit-bootcamp, low-impact-training, pilates, running, strength-training",2024-03-26
Luv yourself ltd,,,London,http://www.luvyourself.space/,"pilates, prenatal-postnatal, yoga",2025-07-04
Maison Mère Studio,,,London,https://www.maisonmerestudio.com/,"yoga, pilates, prenatal-postnatal, reformer-pilates, strength-training, stretching",2025-07-18
Maison Pilates,,,London,https://www.maisonpilatesstudio.co.uk/,"pilates, prenatal-postnatal, reformer-pilates",2025-05-11
Martin Hunt Performance,,,London,https://www.mhsportsmassage.co.uk/,"strength-training, outdoors, running",2024-06-18
Meraki studios,,,London,https://www.meraki-studios.com/,"pilates, prenatal-postnatal, reformer-pilates",2024-03-13
Mica Yoga,,,London,http://www.micayoga.co.uk/,"barre, yoga, pilates, prenatal-postnatal",2024-04-29
MIND Yoga and Pilates,,,London,https://www.mindyogaandpilates.co.uk/,"yoga, hiit-bootcamp, pilates, prenatal-postnatal, strength-training",2024-04-23
Mint Pilates,,,London,https://mintpilates.co.uk/,"pilates, prenatal-postnatal, reformer-pilates",2025-05-09
Mode Studio,,,London,https://www.modestudio.london/,"hiit-bootcamp, boxing, pilates, yoga, strength-training",2025-07-26
MoreYoga,,,London,https://www.moreyoga.co.uk/yoga-london/battersea,"yoga, pilates",2025-03-15
MoreYoga,,,London,https://www.moreyoga.co.uk/yoga-london/peckham-rye/,"yoga, martial-arts, pilates, mind-body",2025-03-15
MoreYoga,,,London,https://www.moreyoga.co.uk/yoga-london/peckham-queens-road/,"yoga, pilates, stretching",2025-03-15
Muay Thai Social Club,,,London,https://www.rivalkingscross.com/,martial-arts,2023-12-06
N Core Fit,,,London,https://www.ncorefit.co.uk/,personal-training,2024-09-29
Nelo Wellness,,,London,https://nelowellness.co.uk/,"pilates, reformer-pilates",2024-11-16
Nick's Bootcamp,,,London,https://londonoutdoorfitness.com/,"hiit-bootcamp, strength-training, outdoors",2024-08-09
Nikki Grass Pilates,,,London,https://www.nikkigrasspilates.co.uk/,pilates,2025-04-21
Nikki Grass Pilates,,,London,https://www.nikkigrasspilates.co.uk/,pilates,2025-04-21
Notting Hill Club,,,London,https://www.nottinghillclub.co.uk/,"barre, hiit-bootcamp, dance, pilates, prenatal-postnatal, yoga, strength-training",2024-02-08
Nouva Pilates,,,London,https://nouvapilates.com/,"pilates, reformer-pilates",2024-10-02
Nuforma Pilates,,,London,https://www.nuformapilates.co.uk/surrey-quays,"pilates, reformer-pilates",2023-12-13
OKPT Active,,,London,https://www.okptactive.co.uk/,"hiit-bootcamp, strength-training",2025-06-23
OpenGym,,,London,https://www.opengym.uk/,strength-training,2025-08-13
OpenMat Pilates CIC,,,London,https://www.openmatpilates.com/,"pilates, yoga",2025-02-22
Out of the box,,,London,http://www.outoftheboxstudio.co.uk/,"hiit-bootcamp, dance, low-impact-training, pilates, prenatal-postnatal, reformer-pilates, strength-training, stretching, yoga",2025-02-11
Outdoor Fitness Dynamics,,,London,https://www.ofdfit.com/,"hiit-bootcamp, strength-training, low-impact-training, outdoors, running",2025-04-14
Pilates Yoga Home,,,London,http://www.pilatesyogahome.com/,"yoga, pilates, strength-training, trampoline",2025-09-17
Pilazees Studios - Women Only,,,London,https://pilazees.com/,"pilates, reformer-pilates, stretching",2025-05-10
Pink Pilates,,,London,https://www.pinkpilates.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14468983055104579293,"pilates, prenatal-postnatal, reformer-pilates",2025-04-21
Plum Pilates,,,London,https://www.plumpilates.co.uk/,"pilates, reformer-pilates",2024-08-15
Point Pilates,,,London,https://www.pointpilates.co.uk/,"pilates, prenatal-postnatal, reformer-pilates",2025-04-14
Posture London,,,London,https://www.posturelondon.com/,"pilates, reformer-pilates",2024-02-20
PowerWave Fitness Hub Beckenham,,,London,http://www.powerwavebeckenham.co.uk/,"hiit-bootcamp, strength-training",2024-02-26
Privé Pilates - Women only,,,London,https://www.privepilates.co.uk/,"pilates, reformer-pilates",2025-01-01
Project365,,,London,https://www.project365coaching.co.uk/,"hiit-bootcamp, strength-training",2024-09-25
Rago Fitness,,,London,https://wharfsidegym.co.uk/,personal-training,2025-07-13
reconnect-studio-london,,,London,https://www.reconnectstudio.co.uk/,"pilates, yoga, low-impact-training, strength-training, stretching",2024-09-05
Reform Atelier Limited,,,London,https://www.reformatelier.com/,"pilates, reformer-pilates",2025-03-18
Reformer LDN,,,London,https://www.reformerldn.co.uk/,"pilates, reformer-pilates",2024-04-21
Reformer Revolution,,,London,https://www.reformerrevolution.co.uk/,"barre, pilates, yoga, reformer-pilates",2024-08-21
ReformX Training Studio,,,London,http://www.reformx.co.uk/,"hiit-bootcamp, strength-training, pilates, reformer-pilates",2024-11-23
Restart Reformer Pilates London,,,London,https://www.restartpilateslondon.co.uk/,"pilates, reformer-pilates",2025-07-23
Revolt Cycling,,,London,https://revolt-cycling.com/,"cycling, yoga, low-impact-training, pilates, strength-training",2025-01-08
RINTO Fitness Classes,,,London,https://www.rintofitness.co.uk/,"hiit-bootcamp, boxing, cycling, dance, yoga, low-impact-training, martial-arts, pilates, strength-training, stretching, mind-body",2025-04-17
RINTO Fitness Cycling Class,,,London,https://www.rintofitness.co.uk/,"boxing, cycling, dance, yoga, pilates, strength-training",2025-04-17
RINTO Fitness Small Group Personal Training,,,London,https://www.rintofitness.co.uk/,"hiit-bootcamp, strength-training",2025-04-17
Rise Crouch End,,,London,https://www.risecrouchend.co.uk/,"hiit-bootcamp, boxing, strength-training, pilates",2024-02-15
ROE PILATES,,,London,https://www.roepilates.co.uk/,"pilates, reformer-pilates",2025-07-11
Sahna Yoga,,,London,https://sahna.yoga/,"pilates, hiit-bootcamp, yoga, low-impact-training, strength-training, stretching",2025-04-11
Small Pilates,,,London,https://www.small-pilates.com/,"pilates, reformer-pilates",2025-04-20
stance-jiu-jitsu-london,,,London,https://stancejiujitsu.com/,martial-arts,2025-01-07
Starseed Offerings,,,London,https://www.starseedofferings.com/,"prenatal-postnatal, yoga",2025-03-23
Step In2 Afro,,,London,https://ledancestudio.com/,dance,2024-05-02
Strength Lab,,,London,https://www.strengthlabldn.com/,"reformer-pilates, pilates, strength-training, yoga",2023-12-21
STRONG Pilates,,,London,https://strongpilates.co.uk/location/wimbledon/,"hiit-bootcamp, pilates, strength-training",2025-01-15
STRONG Pilates,,,London,https://strongpilates.co.uk/,"pilates, reformer-pilates",2024-01-15
STRONG Pilates,,,London,https://strongpilates.co.uk/location/wandsworth/,"pilates, reformer-pilates",2025-05-15
STRONG Pilates,,,London,https://strongpilates.co.uk/location/warren-street/,"pilates, outdoors, reformer-pilates, running, stretching",2025-05-15
System Studios,,,London,http://system-studios.co/,"pilates, yoga",2024-12-12
T&R Holistic Services,,,London,https://tandrholisticservices.com/,yoga,2024-07-10
The Dancer Body,,,London,https://www.stepsstudiosuk.com/,dance,2024-03-18
The Fitness Laboratory,,,London,https://www.thefitnesslaboratory.com/,"hiit-bootcamp, strength-training",2025-01-31
The Loft Studio,,,London,https://www.theloftchiswick.com/,"barre, pilates, prenatal-postnatal, reformer-pilates",2025-06-11
The London Outdoor Fitness Bootcamp,,,London,https://londonoutdoorfitness.com/,"hiit-bootcamp, outdoors, running, strength-training",2024-08-09
The London Outdoor Fitness Bootcamp,,,London,https://londonoutdoorfitness.com/,"hiit-bootcamp, outdoors, strength-training",2024-08-09
The Pilates Studio LDN,,,London,https://www.thepilatesstudioldn.com/,"pilates, prenatal-postnatal, reformer-pilates",2025-03-16
Tower Bridge Yoga Home,,,London,http://www.gruhayoga.com/,yoga,2024-08-25
Train Dirty London - N4,,,London,https://londonoutdoorfitness.com/,"hiit-bootcamp, strength-training",2024-08-09
